year,rank,song,artist,gender
2011,25,Good Life,OneRepublic,man
2011,39,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,man
2011,90,Take A Back Road,Rodney Atkins,man
2011,44,Dynamite,Taio Cruz,man
2011,66,For The First Time,The Script,man
2011,63,Written In The Stars,Tinie Tempah Featuring Eric Turner,man
2011,61,More,Usher,man
2011,65,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,man
2011,45,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,man
2011,31,Black And Yellow,Wiz Khalifa,man
2011,56,Roll Up,Wiz Khalifa,man
2011,99,Colder Weather,Zac Brown Band,man
2011,80,Knee Deep,Zac Brown Band Featuring Jimmy Buffett,man
2011,82,Remind Me,Brad Paisley Duet With Carrie Underwood,mixed
2011,48,You Make Me Feel...,Cobra Starship Featuring Sabi,mixed
2011,88,Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj,mixed
2011,38,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,mixed
2011,51,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,mixed
2011,54,Stereo Love,Edward Maya & Vika Jigulina,mixed
2011,72,Like A G6,Far*East Movement Featuring Cataracs & Dev,mixed
2011,68,Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,mixed
2011,11,On The Floor,Jennifer Lopez Featuring Pitbull,mixed
2011,93,Price Tag,Jessie J Featuring B.o.B,mixed
2011,4,E.T.,Katy Perry Featuring Kanye West,mixed
2011,53,Motivation,Kelly Rowland Featuring Lil Wayne,mixed
2011,98,You And Tequila,Kenny Chesney Featuring Grace Potter,mixed
2011,42,Just A Kiss,Lady Antebellum,mixed
2011,2,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,mixed
2011,9,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,mixed
2011,97,Animal,Neon Trees,mixed
2011,84,Backseat,New Boyz Featuring The Cataracs & Dev,mixed
2011,50,Moment 4 Life,Nicki Minaj Featuring Drake,mixed
2011,5,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",mixed
2011,69,We Found Love,Rihanna Featuring Calvin Harris,mixed
2011,20,What's My Name?,Rihanna Featuring Drake,mixed
2011,78,Who Says,Selena Gomez & The Scene,mixed
2011,35,If I Die Young,The Band Perry,mixed
2011,10,Just Can't Get Enough,The Black Eyed Peas,mixed
2011,37,The Time (Dirty Bit),The Black Eyed Peas,mixed
2011,96,Are You Gonna Kiss Me Or Not,Thompson Square,mixed
2011,1,Rolling In The Deep,Adele,woman
2011,24,Someone Like You,Adele,woman
2011,62,What The Hell,Avril Lavigne,woman
2011,86,Best Thing I Never Had,Beyonce,woman
2011,27,Till The World Ends,Britney Spears,woman
2011,46,I Wanna Go,Britney Spears,woman
2011,60,Hold It Against Me,Britney Spears,woman
2011,55,Jar Of Hearts,Christina Perri,woman
2011,83,In The Dark,Dev,woman
2011,3,Firework,Katy Perry,woman
2011,14,Last Friday Night (T.G.I.F.),Katy Perry,woman
2011,75,Teenage Dream,Katy Perry,woman
2011,30,We R Who We R,Ke$ha,woman
2011,33,Blow,Ke$ha,woman
2011,70,Pretty Girl Rock,Keri Hilson,woman
2011,18,Born This Way,Lady Gaga,woman
2011,29,The Edge Of Glory,Lady Gaga,woman
2011,71,You And I,Lady Gaga,woman
2011,8,Super Bass,Nicki Minaj,woman
2011,17,Raise Your Glass,P!nk,woman
2011,19,F**kin' Perfect,P!nk,woman
2011,12,S&M,Rihanna,woman
2011,40,Only Girl (In The World),Rihanna,woman
2011,77,Cheers (Drink To That),Rihanna,woman
2011,74,Back To December,Taylor Swift,woman
2011,64,Bottoms Up,Trey Songz Featuring Nicki Minaj,woman
2012,54,No Lie,2 Chainz Featuring Drake,man
2012,30,Too Close,Alex Clare,man
2012,80,So Good,B.o.B,man
2012,26,It Will Rain,Bruno Mars,man
2012,92,Cashin' Out,Ca$h Out,man
2012,42,Feel So Close,Calvin Harris,man
2012,65,Let's Go,Calvin Harris Featuring Ne-Yo,man
2012,56,Don't Wake Me Up,Chris Brown,man
2012,84,Turn Up The Music,Chris Brown,man
2012,69,Paradise,Coldplay,man
2012,50,Without You,David Guetta Featuring Usher,man
2012,20,The Motto,Drake Featuring Lil Wayne,man
2012,99,Even If It Breaks Your Heart,Eli Young Band,man
2012,58,Springsteen,Eric Church,man
2012,16,Good Feeling,Flo Rida,man
2012,17,Whistle,Flo Rida,man
2012,14,Some Nights,fun.,man
2012,60,Not Over You,Gavin DeGraw,man
2012,61,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,man
2012,52,Wanted,Hunter Hayes,man
2012,91,It's Time,Imagine Dragons,man
2012,63,Work Out,J. Cole,man
2012,88,Take A Little Ride,Jason Aldean,man
2012,98,Fly Over States,Jason Aldean,man
2012,25,I Won't Give Up,Jason Mraz,man
2012,40,Ni**as in Paris,Jay Z Kanye West,man
2012,28,Boyfriend,Justin Bieber,man
2012,34,As Long As You Love Me,Justin Bieber Featuring Big Sean,man
2012,27,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",man
2012,76,Come Over,Kenny Chesney,man
2012,96,Somethin' 'Bout A Truck,Kip Moore,man
2012,78,Drank In My Cup,Kirko Bangz,man
2012,95,Hard To Love,Lee Brice,man
2012,100,Burn It Down,Linkin Park,man
2012,13,Sexy And I Know It,LMFAO,man
2012,53,Drunk On You,Luke Bryan,man
2012,93,I Don't Want This Night To End,Luke Bryan,man
2012,18,One More Night,Maroon 5,man
2012,4,Payphone,Maroon 5 Featuring Wiz Khalifa,man
2012,97,Adorn,Miguel,man
2012,74,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,man
2012,10,What Makes You Beautiful,One Direction,man
2012,49,Home,Phillip Phillips,man
2012,62,Back In Time,Pitbull,man
2012,48,International Love,Pitbull Featuring Chris Brown,man
2012,47,Gangnam Style,PSY,man
2012,32,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,man
2012,6,Glad You Came,The Wanted,man
2012,82,Red Solo Cup,Toby Keith,man
2012,19,Drive By,Train,man
2012,81,50 Ways To Say Goodbye,Train,man
2012,77,Heart Attack,Trey Songz,man
2012,45,Rack City,Tyga,man
2012,44,Scream,Usher,man
2012,72,Climax,Usher,man
2012,73,"Work Hard, Play Hard",Wiz Khalifa,man
2012,57,Dance (A$$),Big Sean Featuring Nicki Minaj,mixed
2012,35,Turn Me On,David Guetta Featuring Nicki Minaj,mixed
2012,24,Titanium,David Guetta Featuring Sia,mixed
2012,23,Take Care,Drake Featuring Rihanna,mixed
2012,11,Wild Ones,Flo Rida Featuring Sia,mixed
2012,3,We Are Young,fun. Featuring Janelle Monae,mixed
2012,1,Somebody That I Used To Know,Gotye Featuring Kimbra,mixed
2012,51,Ass Back Home,Gym Class Heroes Featuring Neon Hitch,mixed
2012,90,We Run The Night,Havana Brown Featuring Pitbull,mixed
2012,59,Brokenhearted,Karmin,mixed
2012,67,Pontoon,Little Big Town,mixed
2012,29,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,mixed
2012,36,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,mixed
2012,22,Everybody Talks,Neon Trees,mixed
2012,38,Good Time,Owl City & Carly Rae Jepsen,mixed
2012,8,We Found Love,Rihanna Featuring Calvin Harris,mixed
2012,79,Birthday Cake,Rihanna Featuring Chris Brown,mixed
2012,83,Love You Like A Love Song,Selena Gomez & The Scene,mixed
2012,86,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,mixed
2012,68,Ho Hey,The Lumineers,mixed
2012,12,Set Fire To The Rain,Adele,woman
2012,43,Someone Like You,Adele,woman
2012,64,Rumour Has It,Adele,woman
2012,71,Rolling In The Deep,Adele,woman
2012,2,Call Me Maybe,Carly Rae Jepsen,woman
2012,66,Good Girl,Carrie Underwood,woman
2012,70,Blown Away,Carrie Underwood,woman
2012,55,Want U Back,Cher Lloyd,woman
2012,87,A Thousand Years,Christina Perri,woman
2012,39,Give Your Heart A Break,Demi Lovato,woman
2012,5,Lights,Ellie Goulding,woman
2012,46,Domino,Jessie J,woman
2012,15,Wide Awake,Katy Perry,woman
2012,31,Part Of Me,Katy Perry,woman
2012,41,The One That Got Away,Katy Perry,woman
2012,85,Die Young,Ke$ha,woman
2012,7,Stronger (What Doesn't Kill You),Kelly Clarkson,woman
2012,9,Starships,Nicki Minaj,woman
2012,75,Pound The Alarm,Nicki Minaj,woman
2012,37,Blow Me (One Last Kiss),P!nk,woman
2012,21,Where Have You Been,Rihanna,woman
2012,89,You Da One,Rihanna,woman
2012,94,Diamonds,Rihanna,woman
2012,33,We Are Never Ever Getting Back Together,Taylor Swift,woman
2013,99,I'm Different,2 Chainz,man
2013,41,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",man
2013,91,Bugatti,Ace Hood Featuring Future & Rick Ross,man
2013,19,Wake Me Up!,Avicii,man
2013,25,Sail,AWOLNATION,man
2013,4,Harlem Shake,Baauer,man
2013,80,Sure Be Cool If You Did,Blake Shelton,man
2013,8,When I Was Your Man,Bruno Mars,man
2013,11,Locked Out Of Heaven,Bruno Mars,man
2013,30,Treasure,Bruno Mars,man
2013,29,Safe And Sound,Capital Cities,man
2013,14,Get Lucky,Daft Punk Featuring Pharrell Williams,man
2013,54,Wagon Wheel,Darius Rucker,man
2013,32,Started From The Bottom,Drake,man
2013,34,"Hold On, We're Going Home",Drake Featuring Majid Jordan,man
2013,75,The A Team,Ed Sheeran,man
2013,67,Berzerk,Eminem,man
2013,40,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,man
2013,64,I Cry,Flo Rida,man
2013,94,Get Your Shine On,Florida Georgia Line,man
2013,9,Cruise,Florida Georgia Line Featuring Nelly,man
2013,58,Some Nights,fun.,man
2013,76,Carry On,fun.,man
2013,72,I Want Crazy,Hunter Hayes,man
2013,92,Wanted,Hunter Hayes,man
2013,3,Radioactive,Imagine Dragons,man
2013,47,It's Time,Imagine Dragons,man
2013,62,Demons,Imagine Dragons,man
2013,48,Power Trip,J. Cole Featuring Miguel,man
2013,66,The Other Side,Jason Derulo,man
2013,22,Holy Grail,Jay Z Featuring Justin Timberlake,man
2013,6,Mirrors,Justin Timberlake,man
2013,20,Suit & Tie,Justin Timberlake Featuring JAY Z,man
2013,79,Swimming Pools (Drank),Kendrick Lamar,man
2013,39,Love Me,Lil Wayne Featuring Drake & Future,man
2013,69,Crash My Party,Luke Bryan,man
2013,78,That's My Kind Of Night,Luke Bryan,man
2013,5,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,man
2013,1,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,man
2013,35,Daylight,Maroon 5,man
2013,38,One More Night,Maroon 5,man
2013,51,Love Somebody,Maroon 5,man
2013,84,Adorn,Miguel,man
2013,52,I Will Wait,Mumford & Sons,man
2013,86,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,man
2013,82,Troublemaker,Olly Murs Featuring Flo Rida,man
2013,74,Best Song Ever,One Direction,man
2013,63,Counting Stars,OneRepublic,man
2013,97,Let Her Go,Passenger,man
2013,46,Home,Phillip Phillips,man
2013,61,"Gone, Gone, Gone",Phillip Phillips,man
2013,55,Gangnam Style,PSY,man
2013,98,Runnin' Outta Moonlight,Randy Houser,man
2013,2,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,man
2013,87,U.O.E.N.O.,Rocko Featuring Future & Rick Ross,man
2013,26,Don't You Worry Child,Swedish House Mafia Featuring John Martin,man
2013,85,Hall Of Fame,The Script Featuring will.i.am,man
2013,90,It Goes Like This,Thomas Rhett,man
2013,95,#thatPOWER,will.i.am Featuring Justin Bieber,man
2013,73,The Fox,Ylvis,man
2013,31,The Way,Ariana Grande Featuring Mac Miller,mixed
2013,60,Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,mixed
2013,56,I Need Your Love,Calvin Harris Featuring Ellie Goulding,mixed
2013,44,Sweet Nothing,Calvin Harris Featuring Florence Welch,mixed
2013,42,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,mixed
2013,93,Downtown,Lady Antebellum,mixed
2013,45,Summertime Sadness,Lana Del Rey & Cedric Gervais,mixed
2013,43,Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,mixed
2013,81,#Beautiful,Mariah Carey Featuring Miguel,mixed
2013,65,Little Talks,Of Monsters And Men,mixed
2013,7,Just Give Me A Reason,P!nk Featuring Nate Ruess,mixed
2013,100,Still Into You,Paramore,mixed
2013,36,Feel This Moment,Pitbull Featuring Christina Aguilera,mixed
2013,13,Stay,Rihanna Featuring Mikky Ekko,mixed
2013,12,Ho Hey,The Lumineers,mixed
2013,77,Highway Don't Care,Tim McGraw With Taylor Swift,mixed
2013,24,Clarity,Zedd Featuring Foxes,mixed
2013,17,We Can't Stop,Miley Cyrus,nb
2013,18,Wrecking Ball,Miley Cyrus,nb
2013,49,Girl On Fire,Alicia Keys Featuring Nicki Minaj,woman
2013,21,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,woman
2013,83,Body Party,Ciara,woman
2013,50,Heart Attack,Demi Lovato,woman
2013,88,Next To Me,Emeli Sande,woman
2013,28,I Love It,Icona Pop Featuring Charli XCX,woman
2013,10,Roar,Katy Perry,woman
2013,57,Die Young,Ke$ha,woman
2013,68,Catch My Breath,Kelly Clarkson,woman
2013,37,Applause,Lady Gaga,woman
2013,15,Royals,Lorde,woman
2013,89,Mama's Broken Heart,Miranda Lambert,woman
2013,53,Try,P!nk,woman
2013,27,Diamonds,Rihanna,woman
2013,70,Pour It Up,Rihanna,woman
2013,96,Brave,Sara Bareilles,woman
2013,33,Come & Get It,Selena Gomez,woman
2013,16,I Knew You Were Trouble.,Taylor Swift,woman
2013,71,22,Taylor Swift,woman
2013,59,Bad,Wale Featuring Tiara Thomas Or Rihanna,woman
2013,23,Scream & Shout,will.i.am & Britney Spears,woman
2014,86,Amnesia,5 Seconds Of Summer,man
2014,93,She Looks So Perfect,5 Seconds Of Summer,man
2014,48,The Man,Aloe Blacc,man
2014,31,Best Day Of My Life,American Authors,man
2014,22,Wake Me Up!,Avicii,man
2014,60,Hey Brother,Avicii,man
2014,12,Pompeii,Bastille,man
2014,54,Hot Boy,Bobby Shmurda,man
2014,68,Bottoms Up,Brantley Gilbert,man
2014,33,Summer,Calvin Harris,man
2014,30,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,man
2014,77,New Flame,Chris Brown Featuring Usher & Rick Ross,man
2014,51,A Sky Full Of Stars,Coldplay,man
2014,79,Drunk On A Plane,Dierks Bentley,man
2014,15,Turn Down For What,DJ Snake & Lil Jon,man
2014,97,0 To 100 / The Catch Up,Drake,man
2014,55,"Hold On, We're Going Home",Drake Featuring Majid Jordan,man
2014,52,Don't,Ed Sheeran,man
2014,56,Sing,Ed Sheeran,man
2014,38,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,man
2014,66,Dirt,Florida Georgia Line,man
2014,49,This Is How We Roll,Florida Georgia Line Featuring Luke Bryan,man
2014,23,Demons,Imagine Dragons,man
2014,57,Radioactive,Imagine Dragons,man
2014,91,Beachin',Jake Owen,man
2014,63,Burnin' It Down,Jason Aldean,man
2014,61,Trumpets,Jason Derulo,man
2014,6,Talk Dirty,Jason Derulo Featuring 2 Chainz,man
2014,40,Wiggle,Jason Derulo Featuring Snoop Dogg,man
2014,42,Don't Tell 'Em,Jeremih Featuring YG,man
2014,3,All Of Me,John Legend,man
2014,45,Not A Bad Thing,Justin Timberlake,man
2014,73,American Kids,Kenny Chesney,man
2014,43,Show Me,Kid Ink Featuring Chris Brown,man
2014,88,Come With Me Now,KONGOS,man
2014,98,I Don't Dance,Lee Brice,man
2014,89,Believe Me,Lil Wayne Featuring Drake,man
2014,64,Play It Again,Luke Bryan,man
2014,7,Rude,MAGIC!,man
2014,29,Maps,Maroon 5,man
2014,62,Animals,Maroon 5,man
2014,71,Animals,Martin Garrix,man
2014,78,Love Never Felt So Good,Michael Jackson & Justin Timberlake,man
2014,50,Classic,MKTO,man
2014,14,Am I Wrong,Nico & Vinz,man
2014,24,Story Of My Life,One Direction,man
2014,5,Counting Stars,OneRepublic,man
2014,67,Love Runs Out,OneRepublic,man
2014,19,Let Her Go,Passenger,man
2014,1,Happy,Pharrell Williams,man
2014,72,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,man
2014,70,Me And My Broken Heart,Rixton,man
2014,83,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,man
2014,76,Leave The Night On,Sam Hunt,man
2014,96,Studio,ScHoolboy Q Featuring BJ The Chicago Kid,man
2014,85,Can't Remember To Forget You,Shakira Featuring Rihanna,man
2014,75,Sweater Weather,The Neighbourhood,man
2014,53,Na Na,Trey Songz,man
2014,58,My Hitta,YG Featuring Jeezy & Rich Homie Quan,man
2014,17,Say Something,A Great Big World & Christina Aguilera,mixed
2014,37,Break Free,Ariana Grande Featuring Zedd,mixed
2014,35,Drunk In Love,Beyonce Featuring Jay Z,mixed
2014,41,Rather Be,Clean Bandit Featuring Jess Glynne,mixed
2014,28,Latch,Disclosure Featuring Sam Smith,mixed
2014,59,Cool Kids,Echosmith,mixed
2014,16,The Monster,Eminem Featuring Rihanna,mixed
2014,2,Dark Horse,Katy Perry Featuring Juicy J,mixed
2014,81,Bartender,Lady Antebellum,mixed
2014,84,Do What U Want,Lady Gaga Featuring R. Kelly,mixed
2014,92,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,mixed
2014,90,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",mixed
2014,82,La La La,Naughty Boy Featuring Sam Smith,mixed
2014,47,Ain't It Fun,Paramore,mixed
2014,11,Timber,Pitbull Featuring Ke$ha,mixed
2014,87,No Mediocre,T.I. Featuring Iggy Azalea,mixed
2014,65,2 On,Tinashe Featuring ScHoolboy Q,mixed
2014,94,Stay The Night,Zedd Featuring Hayley Williams,mixed
2014,44,Wrecking Ball,Miley Cyrus,nb
2014,100,Adore You,Miley Cyrus,nb
2014,10,Stay With Me,Sam Smith,nb
2014,9,Problem,Ariana Grande Featuring Iggy Azalea,woman
2014,69,Shower,Becky G,woman
2014,95,Partition,Beyonce,woman
2014,34,Boom Clap,Charli XCX,woman
2014,39,Burn,Ellie Goulding,woman
2014,21,Let It Go,Idina Menzel,woman
2014,4,Fancy,Iggy Azalea Featuring Charli XCX,woman
2014,26,Black Widow,Iggy Azalea Featuring Rita Ora,woman
2014,27,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",woman
2014,46,Roar,Katy Perry,woman
2014,80,Birthday,Katy Perry,woman
2014,18,Team,Lorde,woman
2014,20,Royals,Lorde,woman
2014,8,All About That Bass,Meghan Trainor,woman
2014,99,Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,woman
2014,36,Anaconda,Nicki Minaj,woman
2014,74,Brave,Sara Bareilles,woman
2014,25,Chandelier,Sia,woman
2014,13,Shake It Off,Taylor Swift,woman
2014,32,Habits (Stay High),Tove Lo,woman
2015,25,"Honey, I'm Good.",Andy Grammer,man
2015,88,Blessings,Big Sean Featuring Drake,man
2015,47,I Don't F**k With You,Big Sean Featuring E-40,man
2015,100,How Deep Is Your Love,Calvin Harris & Disciples,man
2015,86,Ayo,Chris Brown & Tyga,man
2015,30,Hotline Bling,Drake,man
2015,99,Back To Back,Drake,man
2015,2,Thinking Out Loud,Ed Sheeran,man
2015,34,Photograph,Ed Sheeran,man
2015,92,Don't,Ed Sheeran,man
2015,43,Centuries,Fall Out Boy,man
2015,60,Uma Thurman,Fall Out Boy,man
2015,4,Trap Queen,Fetty Wap,man
2015,44,My Way,Fetty Wap Featuring Monty,man
2015,21,679,Fetty Wap Featuring Remy Boyz,man
2015,32,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,man
2015,89,Budapest,George Ezra,man
2015,14,Take Me To Church,Hozier,man
2015,82,Tuesday,I LOVE MAKONNEN Featuring Drake,man
2015,83,Hit The Quan,iLoveMemphis,man
2015,17,Want To Want Me,Jason Derulo,man
2015,72,Classic Man,Jidenna Featuring Roman GianArthur,man
2015,33,What Do You Mean?,Justin Bieber,man
2015,87,Kick The Dust Up,Luke Bryan,man
2015,84,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",man
2015,1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,man
2015,5,Sugar,Maroon 5,man
2015,46,Animals,Maroon 5,man
2015,95,Waves,Mr. Probz,man
2015,97,She Knows,Ne-Yo Featuring Juicy J,man
2015,38,Jealous,Nick Jonas,man
2015,68,Chains,Nick Jonas,man
2015,96,El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,man
2015,79,CoCo,O.T. Genasis,man
2015,11,Cheerleader,OMI,man
2015,65,Drag Me Down,One Direction,man
2015,98,Night Changes,One Direction,man
2015,39,Time Of Our Lives,Pitbull & Ne-Yo,man
2015,40,Locked Away,R. City Featuring Adam Levine,man
2015,70,No Type,Rae Sremmurd,man
2015,49,Flex (Ooh Ooh Ooh),Rich Homie Quan,man
2015,45,Take Your Time,Sam Hunt,man
2015,85,House Party,Sam Hunt,man
2015,36,Stitches,Shawn Mendes,man
2015,8,Watch Me,Silento,man
2015,19,Where Are U Now,Skrillex & Diplo With Justin Bieber,man
2015,50,Nasty Freestyle,T-Wayne,man
2015,9,Earned It (Fifty Shades Of Grey),The Weeknd,man
2015,10,The Hills,The Weeknd,man
2015,12,Can't Feel My Face,The Weeknd,man
2015,64,Slow Motion,Trey Songz,man
2015,55,I Don't Mind,Usher Featuring Juicy J,man
2015,71,Riptide,Vance Joy,man
2015,6,Shut Up And Dance,WALK THE MOON,man
2015,3,See You Again,Wiz Khalifa Featuring Charlie Puth,man
2015,54,Renegades,X Ambassadors,man
2015,56,Love Me Harder,Ariana Grande & The Weeknd,mixed
2015,75,Marvin Gaye,Charlie Puth Featuring Meghan Trainor,mixed
2015,31,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",mixed
2015,59,You Know You Like It,DJ Snake & AlunaGeorge,mixed
2015,23,Worth It,Fifth Harmony Featuring Kid Ink,mixed
2015,78,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,mixed
2015,63,Girl Crush,Little Big Town,mixed
2015,16,Lean On,Major Lazer & DJ Snake Featuring MO,mixed
2015,69,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,mixed
2015,76,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,mixed
2015,41,Somebody,Natalie La Rose Featuring Jeremih,mixed
2015,66,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,mixed
2015,51,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",mixed
2015,24,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,mixed
2015,42,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,mixed
2015,27,Good For You,Selena Gomez Featuring A$AP Rocky,mixed
2015,15,Bad Blood,Taylor Swift Featuring Kendrick Lamar,mixed
2015,26,I'm Not The Only One,Sam Smith,nb
2015,58,Stay With Me,Sam Smith,nb
2015,81,Lay Me Down,Sam Smith,nb
2015,35,Hello,Adele,woman
2015,94,Here,Alessia Cara,woman
2015,67,One Last Time,Ariana Grande,woman
2015,61,11-Jul,Beyonce,woman
2015,53,Cool For The Summer,Demi Lovato,woman
2015,93,Ghost,Ella Henderson,woman
2015,73,Ex's & Oh's,Elle King,woman
2015,13,Love Me Like You Do,Ellie Goulding,woman
2015,80,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",woman
2015,91,Heartbeat Song,Kelly Clarkson,woman
2015,22,Lips Are Movin,Meghan Trainor,woman
2015,28,All About That Bass,Meghan Trainor,woman
2015,74,Dear Future Husband,Meghan Trainor,woman
2015,20,Fight Song,Rachel Platten,woman
2015,48,B**** Better Have My Money,Rihanna,woman
2015,62,The Heart Wants What It Wants,Selena Gomez,woman
2015,52,Elastic Heart,Sia,woman
2015,90,Chandelier,Sia,woman
2015,7,Blank Space,Taylor Swift,woman
2015,18,Shake It Off,Taylor Swift,woman
2015,29,Style,Taylor Swift,woman
2015,57,Wildest Dreams,Taylor Swift,woman
2015,37,Talking Body,Tove Lo,woman
2015,77,Habits (Stay High),Tove Lo,woman
2016,35,Don't,Bryson Tiller,man
2016,53,Exchange,Bryson Tiller,man
2016,43,One Call Away,Charlie Puth,man
2016,89,Back To Sleep,Chris Brown,man
2016,73,Hymn For The Weekend,Coldplay,man
2016,95,Adventure Of A Lifetime,Coldplay,man
2016,34,Broccoli,D.R.A.M. Featuring Lil Yachty,man
2016,6,Panda,Desiigner,man
2016,98,Tiimmy Turner,Desiigner,man
2016,59,For Free,DJ Khaled Featuring Drake,man
2016,80,Middle,DJ Snake Featuring Bipolar Sunshine,man
2016,47,Let Me Love You,DJ Snake Featuring Justin Bieber,man
2016,24,Hotline Bling,Drake,man
2016,41,Controlla,Drake,man
2016,37,Jumpman,Drake & Future,man
2016,82,Pop Style,Drake Featuring The Throne,man
2016,54,679,Fetty Wap Featuring Remy Boyz,man
2016,14,My House,Flo Rida,man
2016,49,H.O.L.Y.,Florida Georgia Line,man
2016,97,Wicked,Future,man
2016,30,Low Life,Future Featuring The Weeknd,man
2016,44,Let It Go,James Bay,man
2016,55,Oui,Jeremih,man
2016,1,Love Yourself,Justin Bieber,man
2016,2,Sorry,Justin Bieber,man
2016,31,What Do You Mean?,Justin Bieber,man
2016,9,Can't Stop The Feeling!,Justin Timberlake,man
2016,48,Don't Mind,Kent Jones,man
2016,57,2 Phones,Kevin Gates,man
2016,92,Really Really,Kevin Gates,man
2016,68,Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",man
2016,12,7 Years,Lukas Graham,man
2016,15,I Took A Pill In Ibiza,Mike Posner,man
2016,91,Cut It,O.T. Genasis Featuring Young Dolph,man
2016,100,Perfect,One Direction,man
2016,65,White Iverson,Post Malone,man
2016,23,Stitches,Shawn Mendes,man
2016,28,Treat You Better,Shawn Mendes,man
2016,11,Cheap Thrills,Sia Featuring Sean Paul,man
2016,88,Watch Me,Silento,man
2016,32,The Hills,The Weeknd,man
2016,61,In The Night,The Weeknd,man
2016,72,Can't Feel My Face,The Weeknd,man
2016,58,Starboy,The Weeknd Featuring Daft Punk,man
2016,64,Die A Happy Man,Thomas Rhett,man
2016,96,Humble And Kind,Tim McGraw,man
2016,70,Luv,Tory Lanez,man
2016,74,Say It,Tory Lanez,man
2016,75,Antidote,Travis Scott,man
2016,5,Stressed Out,twenty one pilots,man
2016,20,Ride,twenty one pilots,man
2016,21,Heathens,twenty one pilots,man
2016,90,No Limit,Usher Featuring Young Thug,man
2016,99,See You Again,Wiz Khalifa Featuring Charlie Puth,man
2016,67,Unsteady,X Ambassadors,man
2016,22,Pillowtalk,Zayn,man
2016,17,This Is What You Came For,Calvin Harris Featuring Rihanna,mixed
2016,50,We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,mixed
2016,18,Cake By The Ocean,DNCE,mixed
2016,29,Too Good,Drake Featuring Rihanna,mixed
2016,3,One Dance,Drake Featuring WizKid & Kyla,mixed
2016,93,All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,mixed
2016,16,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,mixed
2016,60,Never Be Like You,Flume Featuring Kai,mixed
2016,19,"Me, Myself & I",G-Eazy x Bebe Rexha,mixed
2016,38,I Hate U I Love U,gnash Featuring Olivia O'Brien,mixed
